"Ticker","Name","Sector","Asset Class","Market Value","Weight (%)","Notional Value","Quantity","Price","Location","Exchange","Currency","FX Rate","Accrual Date"
"NVDA","NVIDIA CORP","Information Technology","Equity","433081571.3","5.37907","433081571.3","2111563","205.1","United States","NASDAQ","USD","1","--"
"AAPL","APPLE INC","Information Technology","Equity","412610404.14","5.12481","412610404.14","1342521","307.34","United States","NASDAQ","USD","1","--"
"MSFT","MICROSOFT CORP","Information Technology","Equity","268767983.46","3.33822","268767983.46","645038","416.67","United States","NASDAQ","USD","1","--"
"AMZN","AMAZON.COM INC","Consumer Discretionary","Equity","217768287.87","2.70478","217768287.87","885129","246.03","United States","NASDAQ","USD","1","--"
"GOOGL","ALPHABET INC CLASS A","Communication","Equity","195836473.47","2.43238","195836473.47","531399","368.53","United States","NASDAQ","USD","1","--"
"AVGO","BROADCOM INC","Information Technology","Equity","158665021.01","1.97069","158665021.01","411337","385.73","United States","NASDAQ","USD","1","--"
"GOOG","ALPHABET INC CLASS C","Communication","Equity","155003601.6","1.92522","155003601.6","423785","365.76","United States","NASDAQ","USD","1","--"
"META","META PLATFORMS INC CLASS A","Communication","Equity","119085074","1.47909","119085074","200818","593","United States","NASDAQ","USD","1","--"
"TSLA","TESLA INC","Consumer Discretionary","Equity","100645746","1.25007","100645746","257406","391","United States","NASDAQ","USD","1","--"
"MU","MICRON TECHNOLOGY INC","Information Technology","Equity","89106215.31","1.10674","89106215.31","103131","864.01","United States","NASDAQ","USD","1","--"
"LLY","ELI LILLY","Health Care","Equity","83090353.38","1.03202","83090353.38","73439","1131.42","United States","NYSE","USD","1","--"
"JPM","JPMORGAN CHASE & CO","Financials","Equity","76698392.69","0.95263","76698392.69","245537","312.37","United States","NYSE","USD","1","--"
"AMD","ADVANCED MICRO DEVICES INC","Information Technology","Equity","69533993.34","0.86364","69533993.34","149093","466.38","United States","NASDAQ","USD","1","--"
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Financials","Equity","62038882.35","0.77055","62038882.35","127095","488.13","United States","NYSE","USD","1","--"
"ASML","ASML HOLDING NV","Information Technology","Equity","59961699.18","0.74475","59961699.18","35477","1690.15","Netherlands","Euronext Amsterdam","USD","0.86513","--"
"XOM","EXXON MOBIL CORP","Energy","Equity","56952509.12","0.70738","56952509.12","379886","149.92","United States","NYSE","USD","1","--"
"JNJ","JOHNSON & JOHNSON","Health Care","Equity","51245944.89","0.6365","51245944.89","220157","232.77","United States","NYSE","USD","1","--"
"V","VISA INC CLASS A","Financials","Equity","49705205.55","0.61736","49705205.55","153615","323.57","United States","NYSE","USD","1","--"
"WMT","WALMART INC","Consumer Staples","Equity","47610370.08","0.59134","47610370.08","400491","118.88","United States","NASDAQ","USD","1","--"
"CSCO","CISCO SYSTEMS INC","Information Technology","Equity","43915689.2","0.54545","43915689.2","361030","121.64","United States","NASDAQ","USD","1","--"
"INTC","INTEL CORPORATION","Information Technology","Equity","39849580.27","0.49495","39849580.27","401831","99.17","United States","NASDAQ","USD","1","--"
