ticker,sector,industry,marketCap,enterpriseValue,ebitda,netIncomeToCommon,freeCashflow,bookValue,sharesOutstanding,totalDebt,totalCash,totalAssets,grossProfits,operatingCashflow,returnOnAssets,returnOnEquity,operatingMargins,grossMargins,currentRatio,debtToEquity,totalRevenue,revenueGrowth,earningsGrowth,interestExpense,enterprise_value,book_value_total,net_debt,ebitda_yield,earnings_yield,fcf_yield,book_yield,gp_a,fcf_ni,revenue_cagr_3y,fcf_cagr_3y,revenue_trend_ols,fcf_trend_ols,delta_gross_margin,asset_growth,share_dilution,dn_ebitda,interest_coverage,cfo_debt,roce,country,currency
NVDA,Technology,Semiconductors,4918316367872.0,4809806053376.0,165514002432.0,159612993536.0,46335873024.0,8.07,24221000000.0,12814000128.0,53171998720.0,206803000000.0,187952005120.0,125648003072.0,0.52727,1.14288,0.65596,0.74144995,3.441,6.555,253491003392.0,0.852,2.145,,4809806053376.0,157293000000.0,-40357998592.0,0.0344117830522138,0.0324527707446073,0.0094210842813367,0.0319810659248127,0.908845641117392,0.2903013846021824,1.0004509499443963,1.9390518269164567,0.5861584828161011,0.6634939848586203,0.1413918986655575,0.8530568722502486,-0.0070678596233198,-0.2438343463332097,547.1389961389962,9.80552534859472,0.8114349519010536,United States,USD
AAPL,Technology,Consumer Electronics,4269614563328.0,4298743218176.0,159975997440.0,122575003648.0,101090746368.0,7.26,14687356000.0,84710998016.0,68507000832.0,359241000000.0,216070995968.0,140222005248.0,0.26229,1.4147099,0.32275,0.47862,1.07,0.79548,451442016256.0,0.166,0.218,,4298743218176.0,73733000000.0,16203997184.0,0.0372145972254373,0.0287086812708586,0.0236767850747641,0.0172692403275222,0.6014653003638226,0.8247256239804277,0.0181253574347939,-0.0394506348716261,0.0184877799154346,-0.0275250178571002,0.0359553354580036,-0.015724149268453,-0.0227248040688013,0.1012901775472749,33.82913806254767,1.655298704207395,0.6872062393471412,United States,USD
MSFT,Technology,Software - Infrastructure,2917777801216.0,2998966943744.0,184457003008.0,125215997952.0,37011251200.0,55.777,7428434704.0,125431996416.0,78227996672.0,619003000000.0,217409994752.0,170141007872.0,0.14814,0.34013999,0.46326,0.68309,1.283,0.30271,318272995328.0,0.183,0.234,,2998966943744.0,343479000000.0,47203999744.0,0.0615068476805944,0.0429148504385137,0.0126847394563682,0.1177193821465271,0.3512260760480967,0.295579253492735,0.1242311465286305,0.0320260542058479,0.1210499972786385,0.0502867120966608,0.0042206790187608,0.2086054634950201,2.6628504491861013e-06,0.2559078754085185,52.835220125786165,1.3564402443832662,0.2637420597130508,United States,USD
AMZN,Consumer Cyclical,Internet Retail,2559815712768.0,2652643000320.0,155860992000.0,90797998080.0,9806624768.0,41.093,10757109436.0,235540004864.0,143088992256.0,818042000000.0,375875010560.0,148531003392.0,0.06845,0.24285,0.1314,0.50604,1.177,0.5329999999999999,742775980032.0,0.166,0.748,,2652643000320.0,411065000000.0,92451012608.0,0.0587568670119566,0.0354705214235198,0.0038309885821412,0.1605838256049706,0.4594813109351353,0.1080048566639058,0.1173128360180639,,0.1099988500812923,0.3319469687677709,0.0648032500291637,0.3090892215319718,0.0124234785740007,0.5931632502890781,43.79287598944591,0.6305977767036275,0.1659647655061271,United States,USD
GOOGL,Communication Services,Internet Content & Information,4275056410624.0,4286935990272.0,161315995648.0,160207994880.0,27921750016.0,39.514,5863336837.0,95875997696.0,126839996416.0,595281000000.0,255053004800.0,174353006592.0,0.14641,0.38884997,0.36121,0.60368,1.922,0.20026,422498009088.0,0.218,0.82,,4286935990272.0,415265000000.0,-30963998720.0,0.037629672104753,0.0374750598569565,0.0065313173287284,0.0971367299313336,0.4284581647994812,0.1742843734915609,0.1251174560921597,0.0687914024922291,0.1199102960053131,0.0624777251528843,0.0427287258225685,0.322094541771792,-0.0100728851035951,-0.1919462394018574,216.7961956521739,1.81852612522304,0.3239600760147481,United States,USD
AVGO,Technology,Semiconductors,1808927162368.0,1815574609920.0,42083999744.0,29316999168.0,27212249088.0,18.43,4757580198.0,64907001856.0,19627999232.0,171092000000.0,57568002048.0,33621999616.0,0.121190004,0.37280998,0.48988,0.76284,2.238,0.7401800000000001,75464998912.0,0.479,0.854,,1815574609920.0,81292000000.0,45279002624.0,0.0231794383519465,0.0162068433588128,0.0150433083509992,0.0449393439886123,0.3364739558132467,0.928207178779151,0.2437842600004176,0.1816540426343054,0.2337494511689423,0.1673638707909259,0.012213335716367,0.0328835763228591,0.0117370892018779,1.0759196582890276,8.080685358255451,0.5180026600303058,0.1700048499783717,United States,USD
GOOG,Communication Services,Internet Content & Information,4245727477760.0,4249861226496.0,161315995648.0,160207994880.0,27921750016.0,39.514,5495819345.0,95875997696.0,126839996416.0,595281000000.0,255053004800.0,174353006592.0,0.14641,0.38884997,0.36121,0.60368,1.922,0.20026,422498009088.0,0.218,0.82,,4249861226496.0,415265000000.0,-30963998720.0,0.0379579442835136,0.0377339326933258,0.006576434818829,0.0978077378200188,0.4284581647994812,0.1742843734915609,0.1251174560921597,0.0687914024922291,0.1199102960053131,0.0624777251528843,0.0427287258225685,0.322094541771792,-0.0100728851035951,-0.1919462394018574,216.7961956521739,1.81852612522304,0.3239600760147481,United States,USD
META,Communication Services,Internet Content & Information,1431137550336.0,1454977974272.0,109308002304.0,70586998784.0,25558249472.0,96.013,2196045588.0,86769000448.0,81180000256.0,366021000000.0,176141991936.0,124000002048.0,0.16395001,0.32930002,0.40617,0.81941,2.348,0.3560799999999999,214962995200.0,0.331,0.624,,1454977974272.0,217243000000.0,5589000192.0,0.0751269120473747,0.0493223022255461,0.0178586953196773,0.1517974285204074,0.481234661224356,0.362081543517803,0.1989383144293925,0.3370839123575326,0.183260991477816,0.2212672284117453,0.0365214531338012,0.3259036275511313,-0.0019133389649935,0.0511307504866501,74.76137339055794,1.4290818311582631,0.268664497123556,United States,USD
TSLA,Consumer Cyclical,Auto Manufacturers,1458403934208.0,1404979642368.0,11093999616.0,3862000128.0,5251999744.0,21.897,3755723871.0,15889999872.0,44743000064.0,137806000000.0,18660999168.0,16528000000.0,0.022330001,0.04901,0.04203,0.19065,2.043,18.738,97878999040.0,0.158,0.083,,1404979642368.0,82137000000.0,-28853000192.0,0.0078961995472772,0.0026481004592855,0.0036011969117816,0.0563197877305544,0.1354149976633818,1.359917030018286,0.051943257367141,-0.062633415093298,0.0442473675125151,-0.0879226163058498,-0.0757192709914285,0.1289096420086835,0.1663557213930348,-2.600775301126529,16.615384615384617,1.0401510467677366,0.0529351883271123,United States,USD
MU,Technology,Semiconductors,1044135084032.0,1002012475392.0,36802998272.0,24110999552.0,2893499904.0,64.237,1127734051.0,10798000128.0,14588999680.0,82798000000.0,33962999808.0,30652999680.0,0.20145,0.39823002,0.67624,0.58437,2.897,14.902,58119000064.0,1.963,7.56,,1002012475392.0,54165000000.0,-3790999552.0,0.0367290818985085,0.0230918392847156,0.0027711930651985,0.0518754716974341,0.4101910650981907,0.1200074637204323,0.0671348972693626,-0.18786951546609,0.1082151359997058,0.0689655172413793,-0.0539420649840632,0.1927797625907572,0.0105030650944539,-0.1030078996276839,21.238993710691823,2.838766374943314,0.1420021305225386,United States,USD
